GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SIGECE,com.fisi.sigece.controladores.admin,HomeAdminControlador,34,0,0,0,12,0,4,0,4,0
SIGECE,com.fisi.sigece.controladores.admin.eventos,RegistrarEventoControlador,56,0,0,0,16,0,4,0,4,0
SIGECE,com.fisi.sigece.controladores.admin.eventos,VerDetallesEventoControlador,101,0,6,0,27,0,7,0,4,0
SIGECE,com.fisi.sigece.controladores.participantes.supraeventos,DetallesSupraeventoControlador,123,0,6,0,32,0,7,0,4,0
SIGECE,com.fisi.sigece.controladores.participantes.supraeventos,MisSupraeventosControlador,73,0,0,0,23,0,4,0,4,0
SIGECE,com.fisi.sigece.controladores.participantes.supraeventos,SupraeventosProximosControlador,53,0,0,0,16,0,5,0,5,0
SIGECE,com.fisi.sigece.modelos,Evento,7,170,0,6,3,39,2,27,2,24
SIGECE,com.fisi.sigece.modelos,Usuario,0,46,0,0,0,11,0,8,0,8
SIGECE,com.fisi.sigece.modelos,Ambiente,0,46,0,0,0,11,0,8,0,8
SIGECE,com.fisi.sigece.modelos,Supraevento,129,0,4,0,30,0,22,0,20,0
SIGECE,com.fisi.sigece.modelos,Expositor,1,73,1,1,0,18,1,12,0,12
SIGECE,com.fisi.sigece.modelos,Inscripcion,14,34,0,0,6,8,4,6,4,6
SIGECE,com.fisi.sigece.modelos,Asistencia,21,43,0,0,3,17,2,12,2,12
SIGECE,com.fisi.sigece.modelos,Usuario.TipoUsuario,0,24,0,0,0,3,0,1,0,1
SIGECE,com.fisi.sigece.controladores.participantes.eventos,DetallesEventoPartcipanteControlador,113,0,0,0,31,0,4,0,4,0
SIGECE,com.fisi.sigece.dao,EventoDAO,261,0,10,0,65,0,14,0,9,0
SIGECE,com.fisi.sigece.dao,AccesoDB,25,0,0,0,8,0,2,0,2,0
SIGECE,com.fisi.sigece.dao,ExpositorDAO,388,0,20,0,121,0,17,0,7,0
SIGECE,com.fisi.sigece.dao,InscripcionDAO,227,0,10,0,67,0,13,0,8,0
SIGECE,com.fisi.sigece.dao,SupraeventoDAO,230,0,10,0,58,0,11,0,6,0
SIGECE,com.fisi.sigece.dao,AsistenciaDAO,168,0,8,0,49,0,10,0,6,0
